**Parameter**,**Description**,**Value**,**Mandatory**
"``-J, --job-name``",A user defined name assigned to the job,Any combination of letters and numbers,no
"``-t, --time``",Maximum time the job will be allowed to run,Time given in format: DD-HH:MM:SS,**YES**
``--mem``,Amount of memory the job requires per **node**,"<number>[units], where units are K for kilobytes, M for megabytes, G for gigabytes or T for terabytes",no
"``-n, --ntasks``",Number of tasks of the job,Number,no (default 1)
``--ntasks-per-node``,Number of tasks assigned to a node,Number,no (default 1)
"``-N, --nodes``",Number of nodes requested,Number,no (default 1)
"``-c, --cpus-per-task``",Number of threads per task,Number,no (default 1)
"``-p, --partition``",Partition/queue where the job will be submited,"longjobs or gpgpu",**YES**
``--output``,File where the standard output will be written,Any combination of letters and numbers,no
``--error``,File where the standard error will be written,Any combination of letters and numbers,no
``--exclusive``,The job cannot share nodes with other running jobs, No values, no
``--test-only``,Return an estimate of when a job would be run, No values, no